repo	milestone	round	issue_slug	title	size	depends_on	files_touched	notes	filed_url
paideia-as	v0.30-vulkan-spirv	v0.30	v0.30-M1-004	v0.30 integration + release notes + CHANGELOG	S	v0.30-M1-001,v0.30-M1-002,v0.30-M1-003	CHANGELOG.md	workspace-version bump v0.30.0	https://github.com/paideia-os/paideia-as/issues/1382
paideia-as	v0.31-color-hdr	v0.31	v0.31-M1-001	v0.31 @fixed_point(bits_int, bits_frac) type modifier	M	-	crates/paideia-as-types/src/fixed_point.rs	color-transform arithmetic	https://github.com/paideia-os/paideia-as/issues/1383
paideia-as	v0.31-color-hdr	v0.31	v0.31-M1-002	v0.31 Matrix<T,R,C> stdlib type + intrinsics	M	-	crates/paideia-as-stdlib/src/matrix.rs	color-space transforms	https://github.com/paideia-os/paideia-as/issues/1384
paideia-as	v0.31-color-hdr	v0.31	v0.31-M1-003	v0.31 CICP-tagged image-encoding helpers	M	-	crates/paideia-as-stdlib/src/cicp.rs	color-tagged pixel encode	https://github.com/paideia-os/paideia-as/issues/1385
paideia-as	v0.31-color-hdr	v0.31	v0.31-M1-004	v0.31 integration + release notes + CHANGELOG	S	v0.31-M1-001,v0.31-M1-002,v0.31-M1-003	CHANGELOG.md	workspace-version bump v0.31.0	https://github.com/paideia-os/paideia-as/issues/1386
paideia-as	v0.32-a11y-toolkit	v0.32	v0.32-M1-001	v0.32 trees with generational indices in stdlib	M	-	crates/paideia-as-stdlib/src/gen_index_tree.rs	a11y-tree data structure	https://github.com/paideia-os/paideia-as/issues/1387
paideia-as	v0.32-a11y-toolkit	v0.32	v0.32-M1-002	v0.32 row-based subtyping for KIND_A11Y_NODE polymorphism	M	-	crates/paideia-as-types/src/row_subtype.rs	AccessKit-shape node kinds	https://github.com/paideia-os/paideia-as/issues/1388
paideia-as	v0.32-a11y-toolkit	v0.32	v0.32-M1-003	v0.32 @retain / @immediate attributes on functor signatures	M	-	crates/paideia-as-parser/src/toolkit_attrs.rs	immediate vs retained UI mode	https://github.com/paideia-os/paideia-as/issues/1389
paideia-as	v0.32-a11y-toolkit	v0.32	v0.32-M1-004	v0.32 integration + release notes + CHANGELOG	S	v0.32-M1-001,v0.32-M1-002,v0.32-M1-003	CHANGELOG.md	workspace-version bump v0.32.0	https://github.com/paideia-os/paideia-as/issues/1390
paideia-as	v0.33-crypto-kdf	v0.33	v0.33-M1-005	v0.33 satellite-linkable runtime shim for paideia_crypto_* + mldsa65_sign_runtime_entry	M	-	crates/paideia-satellite-runtime/src/crypto_shim.rs	MASTER §13.4 gap — companion to open #1348	https://github.com/paideia-os/paideia-as/issues/1391
paideia-as	v0.33-crypto-kdf	v0.33	v0.33-M1-006	v0.33 encoder-conservative BLAKE3 hash intrinsic (unblocks libpdx-schema-registry FNV placeholder)	M	-	crates/paideia-as-crypto/src/blake3.rs	library-status.md flagged pending	https://github.com/paideia-os/paideia-as/issues/1392
paideia-as	v0.33-crypto-kdf	v0.33	v0.33-M1-007	v0.33 test runner: replace TestRunner::discover plain-text scan with real cargo-test harness	M	-	crates/paideia-as/src/test_runner.rs	companion to open #1349; discipline gap	https://github.com/paideia-os/paideia-as/issues/1393
paideia-as	v0.33-crypto-kdf	v0.33	v0.33-M1-008	v0.33 hw-smoke: Argon2id + ChaCha20-Poly1305 + ML-KEM-768 KAT vectors under boot smoke	M	-	tools/hw-smoke-v0.33.md	runtime KAT witness	https://github.com/paideia-os/paideia-as/issues/1394
paideia-as	v0.33-crypto-kdf	v0.33	v0.33-M1-009	v0.33 hw-smoke close-out + tag push v0.33.0 (extend #1353 CHANGELOG scope with M1-005..008; no separate release row)	S	v0.33-M1-005,v0.33-M1-006,v0.33-M1-007,v0.33-M1-008	CHANGELOG.md	extends open #1353 in-body rather than duplicating; challenger v2 §7 fix	https://github.com/paideia-os/paideia-as/issues/1395
paideia-as	-	pas-debt	PAS-DEBT-CATALOG	paideia-as debt catalog + triage (umbrella): categorise pre-existing build_emit failures, parser gaps, intrinsic TODOs and file per-item sub-issues	L	-	design/paideia-as-debt-catalog.md	Q-A-3 resolution per challenger §5.6; umbrella issue — filed sub-issues do NOT appear in this manifest	https://github.com/paideia-os/paideia-as/issues/1396
paideia-os	R106 — persistent /home substrate (single-user path)	R106	R106-CROSS-001	R106 cross-repo scaffold: paideia-os/shell satellite repo created	S	-	-	MASTER §9.1 pre-R106 chore; not yet filed as GH issue	https://github.com/paideia-os/paideia-os/issues/2340
paideia-os	R106 — persistent /home substrate (single-user path)	R106	R106-CROSS-002	R106 shell satellite M1: tokenizer + dispatcher landing site	M	R106-CROSS-001	src/main.pdx src/tokenizer.pdx	lands in paideia-os/shell (satellite), not monorepo	https://github.com/paideia-os/paideia-os/issues/2341
paideia-os	R106 — persistent /home substrate (single-user path)	R106	R106-M4-USER-001	R106.M4-USER: shell tokenizer implementation of ~alias (E_ALIAS_UNRESOLVED path)	M	R106-CROSS-002	shell/src/tokenizer.pdx	user-space complement to open #2231 M4-KERNEL	https://github.com/paideia-os/paideia-os/issues/2342
paideia-os	R106 — persistent /home substrate (single-user path)	R106	R106-DOC-001	R106 alignment table: content-addressed-identity §9 refresh for placeholder rename	S	-	design/user/content-addressed-identity.md	keep placeholder registry docs in sync	https://github.com/paideia-os/paideia-os/issues/2343
